Image Name,Image URL,Category,Image Description,Mood,Color Palette
S001,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1656022236541-AQYYS4AQ19YTIILPLQE5/unsplash-image-As9ZDuy04f4.jpg?format=500w,Hero Image,"A cozy kitchen scene featuring wooden countertops and warm lighting, evoking a welcoming ambiance.","Warm, Rustic","Golden Cream, Sandstone"
S002,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1659117071448-ITYZTOOSCFM23QGBS07H/95F38740-F063-4987-AE6B-6024B468EBCB_1_201_a.jpeg?format=2500w,Section Break,"A minimalist table setting with white plates and green garnishes, conveying freshness and simplicity.","Bright, Modern","Sky Blue, Fresh Basil"
S003,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1656022294920-I17M7583PD3IRP27S6BW/unsplash-image-rg0w6Z5eP3c.jpg?format=500w,Background,"Close-up of a floral arrangement with soft peach and green tones, creating an intimate atmosphere.","Romantic, Lush","Sunset Peach, Olive Grove"
S004,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658858948507-APPHXGJULP0F33CPYPC4/unsplash-image-dwtt3noJG2k.jpg?format=2500w,Accent Image,"A rustic loaf of bread on a wooden board, highlighting artisanal craftsmanship and natural textures.","Earthy, Relaxed","Baked Crust, Wasabi Mist"
S005,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/71e32f23-9215-4a03-bc38-327fefc0d08b/lenabrittphotography.com-294.jpg?format=500w,Hero Image,"A seaside dining setup with blue and white decor, capturing the essence of coastal elegance.","Elegant, Airy","Santorini Blue, Seafoam"
S006,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/a0b2d8e3-b2c8-4a54-b835-4ec1e75bf898/Spargelsalate+%E2%80%93+10+knackige+Rezepte+fur+den+Fruhling%21.jpg?format=2500w,Section Break,"An inviting brunch scene with bright ceramics and papaya tones, ideal for casual gatherings.","Soulful, Casual","Papaya Punch, Sandstone"
S007,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658852310911-Y8E1N4PYGBZI91L5DITJ/unsplash-image-y1XXWct5rBo.jpg?format=2500w,Background,"A sunlit garden table with herbs and glassware, suggesting al fresco freshness.","Botanical, Airy","Fresh Basil, Seafoam"
S007,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658882897965-DII16243J0G13L3JXO84/unsplash-image-Co-T6odt0es.jpg?format=2500w,Accent Image,"A moody candlelit table with rich textures, perfect for intimate evening dining.","Moody, Refined","Spiced Maple, Smoke"
S009,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658882934514-2S8C0FMO532TJROD9MN5/unsplash-image-EvoIiaIVRzU.jpg?format=2500w,Hero Image,"Golden light reflecting off coastal waters, setting a serene, contemplative mood.","Golden Hour, Oceanic","Sky Blue, Golden Cream"
S010,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/31bff503-e0ef-4308-9f4d-ddaa998df181/pexels-anna-nekrashevich-7552064.jpg?format=2500w,Section Break,"Colorful ingredients scattered playfully across a counter, capturing culinary creativity.","Playful, Fresh","Saffron Lime, Papaya Punch"
